word,dog_score,cat_score,diff
train,0.0221,0.004,0.018
look,0.0389,0.0297,0.0091
love,0.0374,0.0297,0.0077
work,0.0268,0.021,0.0058
say,0.0325,0.0287,0.0037
foster,0.0241,0.0219,0.0022
know,0.0438,0.0421,0.0017
rescue,0.0389,0.0377,0.0012
live,0.0271,0.0266,0.0005
want,0.0452,0.047,-0.0019
think,0.0355,0.0388,-0.0033
make,0.0333,0.0375,-0.0042
rehome,0.022,0.0297,-0.0077
come,0.0264,0.0345,-0.0081
try,0.0261,0.0356,-0.0095
need,0.0492,0.0618,-0.0126
feed,0.0063,0.0193,-0.013
thank,0.0174,0.0326,-0.0152
help,0.0365,0.0516,-0.0152
adopt,0.0758,0.0919,-0.016
